visitorid,total_views,total_addtocart,total_transactions,cluster
59832,4,1,1,0
60025,18,0,1,0
60099,1,1,1,0
60497,10,2,1,0
60568,3,0,1,0
60711,5,3,3,0
60790,1,1,1,0
61323,9,1,1,0
61334,3,2,1,0
61635,2,0,1,0
61720,12,1,1,0
61806,5,1,1,0
62004,6,1,1,0
62058,2,1,1,0
62139,6,2,2,0
62155,5,1,1,0
62330,5,1,1,0
62368,3,1,1,0
62377,4,1,1,0
62434,1,1,1,0
62489,7,2,1,0
62602,7,1,1,0
62656,5,1,1,0
62679,3,1,1,0
62694,6,1,1,0
62701,4,1,1,0
62762,3,1,1,0
62893,4,1,1,0
62990,2,1,1,0
63140,2,0,1,0
63156,1,1,1,0
63181,2,1,1,0
63208,1,1,1,0
63274,14,4,3,0
63351,2,1,1,0
63475,34,1,1,0
63786,0,2,2,0
64099,1,1,1,0
64444,0,0,1,0
64575,8,1,1,0
64763,12,2,2,0
64931,188,12,5,0
65124,4,1,1,0
65149,1,1,1,0
65210,0,1,1,0
65249,3,1,1,0
65471,18,0,1,0
65737,0,1,1,0
65740,4,2,2,0
65927,6,1,1,0
66052,1,1,1,0
66139,1,0,1,0
66238,2,1,1,0
66313,4,0,1,0
66317,4,1,1,0
67015,1,1,2,0
67264,10,3,1,0
67301,18,1,1,0
67370,5,0,1,0
67712,27,3,2,0
67744,2,3,2,0
67803,2,1,1,0
68085,11,2,2,0
68087,7,2,1,0
68318,6,3,2,0
68418,7,0,1,0
68449,1,1,1,0
68557,16,3,2,0
68601,4,1,1,0
68646,1,1,1,0
68748,2,1,1,0
68759,5,1,1,0
68804,4,1,1,0
69044,3,2,2,0
69072,3,1,1,0
69301,9,2,2,0
69442,19,17,2,0
69543,1,2,2,0
69645,11,2,2,0
69804,11,0,1,0
69880,4,1,1,0
69982,2,1,1,0
70570,1,1,1,0
70678,2,2,1,0
70888,2,1,1,0
70999,3,2,2,0
71167,13,1,1,0
71192,13,1,1,0
71272,13,2,2,0
71586,3,0,1,0
71689,3,1,1,0
71746,0,1,1,0
71753,2,2,1,0
71927,2,1,1,0
72155,4,0,1,0
72194,16,2,1,0
72232,2,1,1,0
72254,11,9,2,0
72302,3,3,2,0
72373,12,6,1,0
72569,3,1,1,0
72783,1,1,1,0
72828,16,2,1,0
72944,1,0,1,0
73029,2,0,1,0
73292,16,2,2,0
73306,22,6,6,0
73341,5,1,1,0
73356,6,0,1,0
73483,4,0,1,0
73501,14,0,1,0
73567,3,1,2,0
73635,1,1,1,0
73645,28,1,1,0
73679,2,1,1,0
73819,5,1,1,0
73856,24,2,3,0
73867,6,2,1,0
73963,8,1,1,0
74080,4,1,1,0
74260,5,1,1,0
74280,2,1,1,0
74404,5,1,1,0
74483,31,1,1,0
74699,6,0,1,0
74832,2,1,1,0
74920,20,2,2,0
75424,52,12,10,0
75595,18,1,1,0
75630,25,3,3,0
75653,1,1,1,0
75826,8,1,1,0
76124,4,1,1,0
76301,3,1,2,0
76347,2,1,1,0
76475,1,0,1,0
76565,7,2,1,0
76757,1402,296,185,2
76913,1,1,1,0
77032,3,2,2,0
77215,8,3,2,0
77253,12,2,1,0
77261,5,1,1,0
77268,16,1,1,0
77524,17,1,2,0
77659,13,3,2,0
77669,4,1,1,0
77868,4,1,1,0
78006,1,1,1,0
78067,2,1,1,0
78383,4,2,1,0
78476,1,0,1,0
78755,1,1,1,0
78878,3,1,1,0
78882,1,1,1,0
79201,2,1,1,0
79279,1,1,1,0
79312,2,0,1,0
79452,6,2,2,0
79566,3,2,2,0
79681,18,1,1,0
79721,3,3,3,0
79743,4,2,3,0
80034,10,1,1,0
80204,3,3,5,0
80244,1,1,1,0
80267,10,1,1,0
80364,3,2,1,0
80434,3,1,1,0
80580,2,1,1,0
80604,1,1,1,0
80635,6,1,1,0
80964,1,1,1,0
81526,1,1,1,0
81638,1,1,2,0
81688,3,1,1,0
81742,21,5,1,0
81811,34,3,2,0
82009,2,1,1,0
82051,10,1,1,0
82084,13,1,1,0
82251,3,1,1,0
82318,1,2,4,0
82581,3,1,1,0
82759,9,1,1,0
82819,1,1,1,0
83052,2,1,1,0
83319,14,2,1,0
83368,13,1,1,0
83600,20,4,4,0
83748,12,1,1,0
83823,1,1,1,0
84233,16,3,2,0
84275,4,1,1,0
84327,40,0,1,0
84494,2,1,1,0
84580,15,1,1,0
84646,10,2,1,0
84660,5,1,1,0
84928,13,2,1,0
85201,24,5,5,0
85383,0,2,2,0
85555,2,1,1,0
85658,4,0,2,0
85734,1420,26,15,3
85916,4,1,1,0
86005,7,1,1,0
86049,3,1,1,0
86082,1,1,1,0
86123,2,1,1,0
86403,1,1,1,0
86444,5,2,1,0
86609,2,1,1,0
86669,9,2,1,0
86690,2,1,1,0
86810,0,1,1,0
86982,7,1,1,0
87226,6,2,1,0
87364,4,0,2,0
87380,7,1,1,0
87559,4,1,1,0
87660,12,1,1,0
87886,2,1,1,0
87891,2,0,1,0
88182,14,1,1,0
88183,8,0,1,0
88361,1,1,1,0
88427,2,1,1,0
88696,11,1,1,0
88841,12,2,1,0
88920,10,2,1,0
89000,16,1,1,0
89237,1,1,1,0
89426,54,5,1,0
89656,1,1,1,0
89783,5,1,2,0
89882,6,1,1,0
90080,8,1,1,0
90093,1,1,1,0
90186,6,1,1,0
90253,4,1,1,0
90352,2,1,1,0
90496,17,3,2,0
90565,2,1,1,0
90902,6,0,1,0
91370,6,1,1,0
91900,24,1,1,0
91913,1,0,1,0
92098,3,1,1,0
92159,7,1,1,0
92347,14,1,1,0
92384,21,2,2,0
93232,1,1,1,0
93328,1,1,1,0
93424,3,1,1,0
93652,2,1,1,0
93887,1,1,1,0
93978,2,1,1,0
94030,13,4,4,0
94071,19,1,1,0
94177,1,1,1,0
94182,5,1,1,0
94235,6,1,1,0
94463,0,2,2,0
94529,18,2,1,0
94751,8,3,1,0
94832,5,1,1,0
94994,3,1,1,0
95059,4,1,1,0
95090,1,1,1,0
95161,7,1,1,0
95233,2,1,1,0
95536,1,4,1,0
95794,7,1,1,0
96196,5,1,1,0
96387,4,1,1,0
96558,10,1,1,0
96640,1,1,1,0
96705,16,3,1,0
96947,1,0,1,0
97209,1,1,1,0
97480,1,1,1,0
97675,31,3,12,0
97865,2,1,1,0
97992,2,1,1,0
98071,121,23,6,0
98093,15,1,1,0
98364,1,0,1,0
98371,11,1,1,0
98492,3,1,1,0
98499,66,4,1,0
98772,1,1,2,0
98799,4,1,1,0
98887,3,0,1,0
99015,2,1,1,0
99081,1,1,1,0
99160,17,1,1,0
99569,1,1,1,0
99589,1,1,1,0
99634,6,2,1,0
99661,0,1,1,0
99743,2,0,1,0
99830,34,4,2,0
99915,2,1,1,0
99962,3,1,1,0
100012,1,1,1,0
100020,3,1,1,0
100067,2,1,1,0
100198,4,1,1,0
100439,72,1,1,0
100459,3,1,1,0
100539,1,1,1,0
100790,7,1,1,0
100809,3,5,3,0
100840,1,1,1,0
100852,5,1,1,0
100894,7,2,1,0
100988,2,2,2,0
101161,7,2,1,0
101175,150,20,24,0
101483,6,1,1,0
101633,1,1,1,0
101747,1,1,1,0
101821,1,1,1,0
102019,6,1,2,0
102227,1,1,1,0
102454,3,0,1,0
102507,3,3,3,0
102636,1,1,1,0
102676,2,1,1,0
102742,22,1,1,0
102877,8,1,1,0
102957,7,1,1,0
103171,2,1,1,0
103408,1,1,1,0
103637,57,6,5,0
103744,9,0,1,0
103808,5,1,1,0
103993,2,2,2,0
104058,11,6,5,0
104182,2,1,1,0
104260,4,1,1,0
104434,2,1,1,0
104522,3,1,1,0
104560,3,1,1,0
104815,5,1,1,0
104850,2,1,1,0
104866,3,1,1,0
104929,1,1,1,0
104974,57,8,2,0
105003,3,1,1,0
105033,8,1,1,0
105090,2,1,1,0
105164,8,1,1,0
105283,1,1,1,0
105465,9,0,1,0
105552,1,1,1,0
105693,5,0,1,0
105729,6,0,1,0
105795,1,1,1,0
105857,3,1,1,0
106106,4,1,1,0
106381,3,1,1,0
106470,3,1,1,0
106515,2,0,1,0
106554,0,0,1,0
106626,2,2,1,0
106733,1,1,1,0
107007,1,1,1,0
107025,4,1,1,0
107314,1,1,1,0
107692,16,1,1,0
107797,5,1,1,0
107935,3,1,1,0
107944,10,2,1,0
107998,1,0,1,0
108101,1,0,1,0
108464,1,1,1,0
108570,1,0,1,0
108759,44,7,1,0
108813,1,1,1,0
108868,0,3,1,0
108972,12,2,1,0
108997,25,2,1,0
109095,2,1,1,0
109106,7,0,1,0
109184,9,5,6,0
109246,5,1,1,0
109293,3,1,1,0
109357,46,36,19,0
109408,5,1,1,0
109433,2,1,1,0
109662,19,1,1,0
109670,2,1,1,0
109717,0,0,2,0
109721,2,1,1,0
109826,1,1,1,0
109850,13,5,1,0
109926,1,1,1,0
109982,3,1,1,0
110014,4,1,1,0
110090,3,1,1,0
110227,1,2,1,0
110412,10,2,2,0
110481,1,1,1,0
110561,7,1,2,0
110606,2,1,1,0
110660,3,1,1,0
110905,6,1,1,0
111080,6,1,1,0
111209,27,1,1,0
111325,3,1,1,0
111382,3,1,1,0
111668,2,1,1,0
111748,1,1,1,0
112167,3,0,1,0
112253,1,1,1,0
112257,1,0,1,0
112323,11,2,1,0
112417,13,1,1,0
112518,4,1,1,0
112578,1,1,1,0
112596,4,1,1,0
112757,13,2,4,0
112855,2,1,1,0
113028,3,1,1,0
113137,38,6,3,0
113314,0,1,1,0
113592,2,1,1,0
113634,2,1,1,0
113995,8,2,1,0
114108,2,1,1,0
114349,1,1,1,0
114403,4,1,1,0
114450,1,1,1,0
114828,6,1,1,0
114903,2,1,1,0
114915,4,1,1,0
115055,4,1,1,0
115257,60,5,5,0
115417,21,1,1,0
115573,2,1,1,0
115977,5,1,1,0
116086,8,2,2,0
116095,14,2,2,0
116133,18,1,1,0
116236,0,2,1,0
116272,3,1,1,0
116322,3,1,1,0
116458,1,1,1,0
116728,0,0,1,0
116771,6,1,1,0
116830,2,1,1,0
116997,12,1,1,0
117236,12,1,1,0
117422,5,2,2,0
117436,15,1,1,0
117934,10,3,3,0
117973,5,1,1,0
118071,4,0,1,0
118129,8,5,3,0
118200,12,1,1,0
118234,1,1,1,0
118274,9,1,1,0
118319,0,1,1,0
118450,3,0,2,0
118487,2,1,1,0
118543,7,1,1,0
118580,16,0,2,0
118594,8,1,1,0
118734,6,1,1,0
118831,4,2,1,0
118899,17,2,2,0
118926,1,1,1,0
119044,1,1,1,0
119084,1,0,1,0
119139,12,1,1,0
119168,2,1,1,0
119328,2,1,1,0
119362,2,1,1,0
119389,9,21,10,0
119446,4,1,1,0
119455,2,1,1,0
119531,1,1,1,0
119578,21,2,2,0
119770,9,1,1,0
119781,1,0,1,0
119827,5,2,2,0
120036,1,1,1,0
120226,15,4,2,0
120331,6,1,1,0
120444,4,3,3,0
120511,1,1,1,0
120532,13,2,1,0
120601,3,1,1,0
120699,2,2,2,0
120959,9,1,1,0
121179,1,1,1,0
121214,7,1,1,0
121299,5,4,4,0
121320,18,3,2,0
121322,24,1,1,0
121370,3,1,1,0
121481,11,1,2,0
121688,15,11,11,0
121714,4,1,1,0
121775,3,1,1,0
121914,120,3,2,0
121951,1,1,1,0
122126,4,1,1,0
122153,3,1,1,0
122239,4,1,1,0
122329,8,1,2,0
122337,1,1,1,0
122347,20,0,1,0
122385,12,1,1,0
122478,5,1,1,0
122552,11,1,1,0
122568,0,1,1,0
122598,2,1,1,0
122700,16,2,1,0
122728,2,1,1,0
122929,1,1,1,0
123031,2,1,1,0
123036,2,1,2,0
123291,2,1,1,0
123533,4,1,1,0
123702,13,1,1,0
123724,3,1,1,0
124102,35,7,1,0
124114,7,2,1,0
124220,3,1,1,0
124269,4,2,2,0
124489,1,0,1,0
124511,2,1,1,0
124971,17,1,1,0
125048,6,1,1,0
125098,1,1,1,0
125197,2,1,1,0
125208,4,1,1,0
125307,32,1,1,0
125643,1,0,1,0
125651,1,2,1,0
125728,4,3,3,0
125769,3,0,2,0
125998,1,1,1,0
126139,65,1,1,0
126230,3,1,1,0
126393,5,1,1,0
126643,2,1,1,0
126771,2,1,1,0
126779,2,2,2,0
126834,7,4,3,0
127240,0,2,2,0
127366,10,1,1,0
127425,2,2,1,0
127452,4,2,2,0
127579,6,1,1,0
127718,1,0,1,0
127910,3,2,2,0
128066,2,1,1,0
128147,21,2,2,0
128188,6,2,1,0
128223,6,1,1,0
128491,7,1,1,0
128578,3,0,1,0
128727,17,2,2,0
129046,1,1,1,0
129095,0,1,1,0
129198,4,1,1,0
129237,5,1,1,0
129434,3,1,1,0
129438,6,0,1,0
129443,7,0,1,0
129642,3,1,1,0
129689,8,0,1,0
129708,1,1,2,0
129811,1,2,1,0
129940,18,1,1,0
130028,4,2,2,0
130293,29,2,2,0
130294,3,1,1,0
130478,2,1,1,0
130492,34,10,3,0
130658,1,1,1,0
130847,3,2,1,0
130917,1,1,1,0
130968,5,1,1,0
130983,3,4,1,0
131371,13,4,3,0
131578,6,1,1,0
131595,6,1,1,0
131725,2,1,1,0
131764,0,1,1,0
131768,4,2,1,0
131861,4,1,1,0
131954,6,1,1,0
132066,190,21,1,0
132168,0,1,1,0
132277,5,2,3,0
132645,33,0,1,0
132676,74,36,4,0
132727,2,3,2,0
132804,5,1,1,0
132823,8,1,1,0
132829,15,1,1,0
132882,2,1,1,0
133120,2,1,1,0
133166,8,2,2,0
133456,7,1,1,0
133632,2,1,1,0
133645,11,2,1,0
133777,6,3,1,0
133817,2,1,1,0
134169,6,1,1,0
134248,12,3,1,0
134290,5,2,1,0
134360,3,1,1,0
134407,30,5,4,0
134524,16,1,1,0
134586,2,0,1,0
134685,28,3,1,0
134805,2,1,1,0
134868,1,1,1,0
135153,21,1,1,0
135201,1,1,1,0
135511,1,1,1,0
135719,17,6,4,0
135738,23,1,1,0
135931,3,0,1,0
135997,12,1,1,0
136002,6,2,1,0
136280,0,0,1,0
136630,7,1,1,0
136855,4,1,1,0
136903,12,0,1,0
137011,30,6,2,0
137057,20,1,1,0
137110,2,1,1,0
137223,3,0,1,0
137285,14,3,2,0
137452,1,1,1,0
137613,1,1,1,0
137876,7,1,2,0
138021,31,5,3,0
138131,1231,207,173,2
138304,1,1,1,0
138322,1,1,1,0
138391,3,1,1,0
138458,5,1,1,0
138992,9,1,1,0
139064,1,1,1,0
139392,3,0,1,0
139696,4,1,2,0
139805,5,1,1,0
139850,6,5,5,0
139891,0,1,1,0
140115,6,1,1,0
140378,8,1,1,0
140568,0,1,1,0
140572,18,1,1,0
140810,2,1,1,0
140884,8,1,1,0
141016,1,1,1,0
141135,6,1,1,0
141660,17,9,1,0
141701,1,1,1,0
141790,1,1,1,0
141812,3,1,1,0
141819,5,1,1,0
141889,1,1,1,0
141905,1,1,1,0
142099,17,1,1,0
142284,1,0,1,0
142511,13,1,1,0
142611,2,1,1,0
142649,18,1,1,0
142785,61,0,2,0
143054,1,1,1,0
143059,3,3,3,0
143136,2,1,1,0
143174,2,1,1,0
143229,2,1,1,0
143361,1,1,1,0
143411,4,2,1,0
143585,4,1,1,0
143630,3,1,1,0
143679,3,2,1,0
143811,1,1,1,0
144274,18,2,2,0
144291,12,1,1,0
144378,9,1,1,0
144508,19,1,1,0
144513,5,3,2,0
144730,1,1,1,0
144849,23,4,5,0
145261,2,2,2,0
145274,6,2,3,0
145473,1,1,2,0
145492,4,2,1,0
145494,4,1,1,0
145611,1,1,1,0
145936,5,2,2,0
146419,2,2,1,0
146458,1,0,1,0
146479,3,1,1,0
146505,2,1,1,0
146522,10,1,1,0
146547,1,9,2,0
146643,30,5,4,0
146698,84,8,5,0
146997,14,3,1,0
147096,7,1,1,0
147248,3,1,2,0
147290,0,0,1,0
147585,9,1,1,0
147808,2,1,1,0
147954,2,1,1,0
148192,1,1,1,0
148227,1,1,1,0
148244,1,3,1,0
148264,1,1,1,0
148402,2,1,1,0
148453,3,1,1,0
148485,3,1,1,0
148531,1,1,1,0
148602,1,1,1,0
148615,3,0,1,0
148658,7,1,1,0
148811,16,1,1,0
148853,3,1,1,0
148923,3,0,1,0
149166,1,1,1,0
149194,6,1,1,0
149420,6,1,1,0
149673,22,2,1,0
149854,15,5,4,0
149978,14,3,3,0
149990,7,1,1,0
150133,32,2,1,0
150184,8,1,1,0
150421,4,1,1,0
150651,52,11,8,0
150737,19,1,1,0
150928,1,0,1,0
150983,2,1,1,0
151077,4,2,1,0
151138,1,0,1,0
151280,5,1,1,0
151448,4,1,1,0
151476,1,2,2,0
151498,2,1,1,0
151740,4,1,1,0
151847,12,1,1,0
152089,5,1,1,0
152357,6,2,2,0
152381,6,1,1,0
152404,1,1,1,0
152420,8,4,4,0
152693,191,5,4,0
152793,9,1,1,0
152887,1,1,1,0
152891,7,1,1,0
152902,0,1,1,0
152963,2304,371,349,1
153018,2,1,1,0
153118,2,5,3,0
153121,5,1,1,0
153312,2,1,1,0
153431,14,3,1,0
153514,2,1,1,0
153536,3,1,1,0
153711,4,1,2,0
153780,7,3,2,0
153934,1,1,1,0
154116,14,3,2,0
154155,9,3,1,0
154217,3,1,3,0
154352,2,1,1,0
154454,17,1,1,0
154476,1,1,1,0
154503,7,1,1,0
